worker_id,task_id,task_response_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Optional Comments:
F3KWTDVXQ63E,f5debfb1-2c64-46eb-8855-84fb98ae6604,8b9d92c8-4dd0-4d48-aa3a-cfab50bc5189,NaturalNews_20170706T012448.conll.annot,4,20 21,NaturalNews,the science,3 - The source is potentially reliable,""
F3KWTDVXQ63E,ff65a55f-4aaa-42cc-b0d4-d9a117b1d266,ab881b8f-6139-4e15-a3e4-3ff8e840c937,vk-ovg-ox-ac-uk_20170821T010049.conll.annot,68,1,vk.ovg.ox.ac.uk,Doctor,4 - The source is somewhat reliable,""
4REVNE2CDF7H,e8d68b50-969b-495d-aaca-f2ff2c65b588,8d03bbb2-8249-4e6b-abea-f3f27f7f460f,Child-Health-Safety_20170626T115833.conll.annot,291,3,________________Child Health Safety_________________,CDR,3 - The source is potentially reliable,""
4REVNE2CDF7H,fe3d89b1-242e-420d-b961-0309d4cde49a,75bfb7cd-e9d6-4b33-b8be-c25e8fb5ac61,NY-Daily-News_20160704T092017.conll.annot,20,31,NY Daily News,Rutherford,2 - The source is somewhat unreliable,""
QEZAEMV2WF9D,fc5811b5-76ad-446c-800d-826e92ccc1e2,a8ce532b-0402-4933-84bd-3ed86e44713f,nytimes-com_20161229T124138.conll.annot,384,1,www.nytimes.com,Doctors,4 - The source is somewhat reliable,""
4REVNE2CDF7H,fe1ca374-800f-4cc8-b206-ff7066d349de,05a98a43-65f8-438c-9f85-6878b9d1e1e9,Whattoexpect_20161206T224915.conll.annot,58,1 2,Whattoexpect,The CDC,3 - The source is potentially reliable,""
QEZAEMV2WF9D,fe1ca374-800f-4cc8-b206-ff7066d349de,d304184b-0603-4658-9911-08668c4a9a7c,Whattoexpect_20161206T224915.conll.annot,58,1 2,Whattoexpect,The CDC,5 - The source is fully reliable,""
QEZAEMV2WF9D,fe22b600-5449-4d19-b8fa-e94f8c9f5889,4d386f86-4335-4407-b75c-1997c4852200,Newstarget-com_20170301T142751.conll.annot,43,17 18 19 20 21 22 23,Newstarget.com,"GlaxoSmithKline , Merck and Johnson & Johnson",2 - The source is somewhat unreliable,""
4REVNE2CDF7H,fd5123dd-1792-44a2-9c09-851befeb2151,1bf6ffd7-42e3-4e34-b39f-c424af4b488d,Washington-Post_20170826T112301.conll.annot,58,7,Washington Post,Wakefield,I don't know.,""
XKEQPPFJWHY9,fe8badfa-de7a-4e7c-99cb-91942b4e8836,d99b067d-de73-4afe-8eb6-403649944302,NaturalNews_20170628T201245.conll.annot,6,1 2 3,NaturalNews,Numerous scientific studies,3 - The source is potentially reliable,""
