worker_id,task_id,task_response_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Optional Comments:
HQ9C62JNTQAD,c4725b6c-5949-4708-a6f0-8f12a96c96c5,55bcbd03-74ca-497e-856a-e8c721afa556,International-Medical-Council-on-Vaccination_20170701T172125.conll.annot,62,1 2 3 4 5 6 7 8 9 10,International Medical Council on Vaccination,Effect of measles and measles vaccine on serum cholesterol .,1 - The source is totally unreliable,""
YM6FFYAMHEPE,e5a63760-7547-4dbf-9f49-1046e322444b,91eac05e-a1cf-46b0-aedc-2371157da4ea,fitfortravel-scot-nhs-uk_20160608T202918.conll.annot,39,17,www.fitfortravel.scot.nhs.uk,evidence,5 - The source is fully reliable,""
DQ6KRGVG3VR4,da9867a1-9e66-4f13-8362-90945aa56f47,0b072818-22d5-4bbc-9dcc-f674078932cb,healthtalk-org_20161031T152854.conll.annot,15,1 2 3 4 5 6 7 8,www.healthtalk.org,A small number of parents that we interviewed,3 - The source is potentially reliable,Never heard of this website. A small group.of.arents....depends on who the parents are. So maybe on both.
4REVNE2CDF7H,a4516ac2-8686-43c0-b668-a66906263b69,4177ee12-fd7c-4639-8196-1d1b3b83be67,21st-Century-Wire_20170627T181355.conll.annot,52,24 25 26 27 28,21st Century Wire,the media ’s hysterical storyline,3 - The source is potentially reliable,""
CP3ZZJMQTTK6,fd57ff99-5763-4d8c-b71a-088d2ee74a0f,a2878ec2-70fe-4db3-8177-788700890632,WIRED_20170525T041726.conll.annot,2,5 6 7 8 9 10 11 12 13,WIRED,most of the people stricken with Mickey Mouse measles,2 - The source is somewhat unreliable,""
4REVNE2CDF7H,fec791be-a5ff-49ef-b51f-a0bf518c1385,31453a82-a8ba-43e3-ba6d-9411a6ddbd52,International-Medical-Council-on-Vaccination_20170701T172125.conll.annot,62,1 2 3 4 5 6 7 8 9 10,International Medical Council on Vaccination,Effect of measles and measles vaccine on serum cholesterol .,3 - The source is potentially reliable,""
4REVNE2CDF7H,fc27f781-d54f-47a2-9ff7-b9085cb96673,fc134178-17dc-4d43-91b3-1e4d8c8d8a4f,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",I don't know.,""
N7P6PRKRJCTQ,fbe5527d-d951-4b65-ac4c-23fe78e12e4c,3dcda6f0-6d15-4b3d-82e6-42c37a3bda6a,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,1 - The source is totally unreliable,""
HQ9C62JNTQAD,fec791be-a5ff-49ef-b51f-a0bf518c1385,1d34e3de-db93-4f97-a159-c1eb5efac7da,International-Medical-Council-on-Vaccination_20170701T172125.conll.annot,62,1 2 3 4 5 6 7 8 9 10,International Medical Council on Vaccination,Effect of measles and measles vaccine on serum cholesterol .,1 - The source is totally unreliable,""
XKEQPPFJWHY9,fcf8b82a-d715-479a-98ef-ebee062da6af,68e4646b-6ff7-49c0-9fd3-948f47c5c143,vk-ovg-ox-ac-uk_20170821T010049.conll.annot,38,1,vk.ovg.ox.ac.uk,Sister,2 - The source is somewhat unreliable,""
CP3ZZJMQTTK6,f99a4cd4-adbe-4725-877b-e4de8d70b3ac,df203b4a-7ba7-40e5-8cbd-a02c8bdc25f6,NaturalNews_20170706T012448.conll.annot,7,1 2 3 4 5,NaturalNews,The esteemed Johns Hopkins Hospital,3 - The source is potentially reliable,""
4REVNE2CDF7H,ff533cf2-3788-4337-9352-2b92381a02be,a74d0511-d718-489e-b644-aa2a04367e24,thinktwice-com_20170627T225319.conll.annot,150,8 9 10 11 12 13 14,www.thinktwice.com,the nursing school where I am enrolled,2 - The source is somewhat unreliable,""
QEZAEMV2WF9D,ff533cf2-3788-4337-9352-2b92381a02be,6d08bed8-976c-421e-8aac-7a4d26d78bc4,thinktwice-com_20170627T225319.conll.annot,150,8 9 10 11 12 13 14,www.thinktwice.com,the nursing school where I am enrolled,3 - The source is potentially reliable,""
4REVNE2CDF7H,ffda93bf-3104-4759-8501-df1195598ddb,8a7d5ba6-4cab-4d57-9df1-6fac2acd0a7d,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,4 - The source is somewhat reliable,""
QEZAEMV2WF9D,fec791be-a5ff-49ef-b51f-a0bf518c1385,10e4b20a-b24f-4b9b-a7bd-f2a085efe12d,International-Medical-Council-on-Vaccination_20170701T172125.conll.annot,62,1 2 3 4 5 6 7 8 9 10,International Medical Council on Vaccination,Effect of measles and measles vaccine on serum cholesterol .,4 - The source is somewhat reliable,""
NKJG9Q32MFF2,ffda93bf-3104-4759-8501-df1195598ddb,1d68409c-1f1d-4dde-909c-1cc7d5768f0e,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,3 - The source is potentially reliable,""
CP3ZZJMQTTK6,ff533cf2-3788-4337-9352-2b92381a02be,54022336-a894-4f23-a6c0-541f65688397,thinktwice-com_20170627T225319.conll.annot,150,8 9 10 11 12 13 14,www.thinktwice.com,the nursing school where I am enrolled,5 - The source is fully reliable,""
HQ9C62JNTQAD,fb26df53-6946-4045-9b3d-1ed622cec72f,aeb336d8-576a-44ce-8375-f14af8249304,greenmedinfo-com_20170703T045312.conll.annot,21,1 2 3,www.greenmedinfo.com,This case report,1 - The source is totally unreliable,""
QEZAEMV2WF9D,ffda93bf-3104-4759-8501-df1195598ddb,b77418ac-a88a-4b37-8de8-69be0356a400,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,4 - The source is somewhat reliable,""
NKJG9Q32MFF2,fcf8b82a-d715-479a-98ef-ebee062da6af,72c956e5-fbae-4eab-930b-cf977d0102c7,vk-ovg-ox-ac-uk_20170821T010049.conll.annot,38,1,vk.ovg.ox.ac.uk,Sister,4 - The source is somewhat reliable,""
QEZAEMV2WF9D,cab921b6-8314-44d6-8429-615f48a9717e,e2584c0e-769b-46b7-90ff-94f6f8b44a11,PublicHealth-org_20170623T200727.conll.annot,11,1,PublicHealth.org,Research,4 - The source is somewhat reliable,""
N7P6PRKRJCTQ,fa93b2bf-06c0-40f8-8102-4b1526202251,2360f9a8-cfa4-4ac3-8dcf-3aeee8971a57,drsuzanne-net_20170606T042830.conll.annot,106,5 6 7 8 9 10 11 12 13 14,drsuzanne.net,a controlled study published in BMJ in school age children,2 - The source is somewhat unreliable,""
4REVNE2CDF7H,fcf8b82a-d715-479a-98ef-ebee062da6af,d3faa894-82fc-40da-be89-669e7f2932e1,vk-ovg-ox-ac-uk_20170821T010049.conll.annot,38,1,vk.ovg.ox.ac.uk,Sister,2 - The source is somewhat unreliable,""
QEZAEMV2WF9D,fbe5527d-d951-4b65-ac4c-23fe78e12e4c,cd20e28f-344f-4409-9564-63afa386e608,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,4 - The source is somewhat reliable,""
HQ9C62JNTQAD,fd9e0e35-a6f5-4268-a511-835d986c3d84,4e2e9fbf-a347-49c7-8d0e-b8c4647ddd2c,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",2 - The source is somewhat unreliable,""
4REVNE2CDF7H,fd9e0e35-a6f5-4268-a511-835d986c3d84,57bff479-824b-4078-b886-09f1b8a0c15d,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",I don't know.,""
NKJG9Q32MFF2,fa7cc383-7941-4dd5-b042-632ddefe0a39,84e96fa1-f5cc-409e-9353-962b4715414f,Child-Health-Safety_20170626T115833.conll.annot,352,3 4 5 6,________________Child Health Safety_________________,no sound scientific evidence,1 - The source is totally unreliable,""
QEZAEMV2WF9D,fa7cc383-7941-4dd5-b042-632ddefe0a39,c8b06698-3fd7-4f58-8bc6-267bf2898dab,Child-Health-Safety_20170626T115833.conll.annot,352,3 4 5 6,________________Child Health Safety_________________,no sound scientific evidence,2 - The source is somewhat unreliable,""
N7P6PRKRJCTQ,fd9e0e35-a6f5-4268-a511-835d986c3d84,7c5cd7c9-60da-4e46-a022-ce728d13aa65,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",1 - The source is totally unreliable,""
CP3ZZJMQTTK6,fbe5527d-d951-4b65-ac4c-23fe78e12e4c,ded9a3da-59ba-4da4-9484-7be2c07d0905,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,4 - The source is somewhat reliable,""
XKEQPPFJWHY9,fa7cc383-7941-4dd5-b042-632ddefe0a39,bd3e7866-3d27-4bbc-9c0c-497b8369e2c9,Child-Health-Safety_20170626T115833.conll.annot,352,3 4 5 6,________________Child Health Safety_________________,no sound scientific evidence,1 - The source is totally unreliable,""
N7P6PRKRJCTQ,ffda93bf-3104-4759-8501-df1195598ddb,2e99ac16-15d8-40cd-bb95-0b4e9dedfc6d,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,1 - The source is totally unreliable,""
QEZAEMV2WF9D,fd57ff99-5763-4d8c-b71a-088d2ee74a0f,13c8b27a-3a1b-4538-96bd-bea4dba49096,WIRED_20170525T041726.conll.annot,2,5 6 7 8 9 10 11 12 13,WIRED,most of the people stricken with Mickey Mouse measles,1 - The source is totally unreliable,""
4REVNE2CDF7H,fbfcd5a1-c26a-428f-b48f-70236265736d,4c9443d1-6884-4908-a2fe-89c27fd957c9,greenmedinfo-com_20170702T213636.conll.annot,14,1 2,www.greenmedinfo.com,The researchers,4 - The source is somewhat reliable,""
