worker_id,task_id,task_response_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Optional Comments:
23QWQCPZ7PNP,f79dff90-7723-4c33-9582-33e46ab6176c,15d3b8d0-d17f-49b2-bb2f-c113957cddf7,ThinkProgress_20160723T110700.conll.annot,12,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,ThinkProgress,"Maimuna Majumder , a research fellow at Boston Children ’s Hospital and one of the authors of the new JAMA study ,",5 - The source is fully reliable,""
9R3XRNAAW7RR,f79dff90-7723-4c33-9582-33e46ab6176c,1bb0a245-1455-4ce7-8704-7e00c2b00d29,ThinkProgress_20160723T110700.conll.annot,12,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,ThinkProgress,"Maimuna Majumder , a research fellow at Boston Children ’s Hospital and one of the authors of the new JAMA study ,",3 - The source is potentially reliable,""
9R3XRNAAW7RR,f040bde3-4c11-482c-b7e3-4bd080b1a7f7,2c7856c7-0bc6-4f40-9781-37b6942a2e36,PublicHealth-org_20170623T200727.conll.annot,14,1 2,PublicHealth.org,The article,5 - The source is fully reliable,""
MWHG9Y6DNGR9,f79dff90-7723-4c33-9582-33e46ab6176c,e2b709b8-16f3-4bc4-b513-8c2f28f0f1e1,ThinkProgress_20160723T110700.conll.annot,12,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,ThinkProgress,"Maimuna Majumder , a research fellow at Boston Children ’s Hospital and one of the authors of the new JAMA study ,",5 - The source is fully reliable,""
D7HVJTEKMYNW,e3f62e34-fb40-4bda-a5b4-acd3d72c1160,f16d6d05-ab57-4117-85b5-8c87fcd5a689,National-Vaccine-Information-Center-(NVIC)_20170616T025538.conll.annot,26,5 6,National Vaccine Information Center (NVIC),Dr. Cherry,5 - The source is fully reliable,""
D7HVJTEKMYNW,f040bde3-4c11-482c-b7e3-4bd080b1a7f7,b001172b-8676-4ca6-9d76-c47562a5b830,PublicHealth-org_20170623T200727.conll.annot,14,1 2,PublicHealth.org,The article,5 - The source is fully reliable,""
MWHG9Y6DNGR9,edf664b7-4b4b-4eca-8bfb-dbb814528de7,517b900f-04c1-4a1f-a728-51ef3d6c5611,dogsnaturallymagazine-com_20170804T052804.conll.annot,27,1 2 3,www.dogsnaturallymagazine.com,My vet friend,2 - The source is somewhat unreliable,""
9R3XRNAAW7RR,cca66bf3-17a3-4c5d-8a91-ce303c7bc5a0,b2661fd2-6dfd-4436-9325-9a358bda8259,Variety_20170614T212541.conll.annot,457,1 2 3 4 5,Variety,People in the middle ages,4 - The source is somewhat reliable,""
D7HVJTEKMYNW,f5a2949d-444b-4045-8b2a-36fd4c5128c3,3b94d1cc-4d33-42a2-8ca1-32e4ef103720,NaturalNews_20170628T230637.conll.annot,6,11 12,NaturalNews,the establishment,2 - The source is somewhat unreliable,""
D7HVJTEKMYNW,cca66bf3-17a3-4c5d-8a91-ce303c7bc5a0,f5e11e07-811a-43f5-9bf4-deb7ac551da0,Variety_20170614T212541.conll.annot,457,1 2 3 4 5,Variety,People in the middle ages,4 - The source is somewhat reliable,""
D7HVJTEKMYNW,edf664b7-4b4b-4eca-8bfb-dbb814528de7,227f0ae9-a117-410c-bd00-abe01a7dc559,dogsnaturallymagazine-com_20170804T052804.conll.annot,27,1 2 3,www.dogsnaturallymagazine.com,My vet friend,3 - The source is potentially reliable,""
D7HVJTEKMYNW,f79dff90-7723-4c33-9582-33e46ab6176c,e41e8a06-033f-42f5-991c-af2076d90a63,ThinkProgress_20160723T110700.conll.annot,12,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,ThinkProgress,"Maimuna Majumder , a research fellow at Boston Children ’s Hospital and one of the authors of the new JAMA study ,",5 - The source is fully reliable,""
9R3XRNAAW7RR,e3f62e34-fb40-4bda-a5b4-acd3d72c1160,f16df7ac-7f2a-4b14-b96e-f3ff090818a6,National-Vaccine-Information-Center-(NVIC)_20170616T025538.conll.annot,26,5 6,National Vaccine Information Center (NVIC),Dr. Cherry,2 - The source is somewhat unreliable,Not sure if totally unreliable was applicable if half-truths were present.
MWHG9Y6DNGR9,f040bde3-4c11-482c-b7e3-4bd080b1a7f7,f01082ee-2580-408c-9426-d6911c3f201c,PublicHealth-org_20170623T200727.conll.annot,14,1 2,PublicHealth.org,The article,4 - The source is somewhat reliable,""
MWHG9Y6DNGR9,e3f62e34-fb40-4bda-a5b4-acd3d72c1160,b0416374-82bf-4a5b-9112-257fa69977d1,National-Vaccine-Information-Center-(NVIC)_20170616T025538.conll.annot,26,5 6,National Vaccine Information Center (NVIC),Dr. Cherry,5 - The source is fully reliable,""
MWHG9Y6DNGR9,dec31be9-d54d-48fb-ae88-8a64942d1f98,8bf6cbc9-06bb-4d42-91e0-1ff46c7f9b00,Reuters_20161107T200904.conll.annot,14,37,Reuters,Majumder,4 - The source is somewhat reliable,""
