worker_id,task_id,task_response_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Optional Comments:
CZPMWCFG6FAT,f21e122b-2700-40f8-877c-46802484de40,e65a2941-214e-4e19-adfd-78bec9f3283d,LifeSiteNews_20170611T045238.conll.annot,11,2 3,LifeSiteNews,the government,3 - The source is potentially reliable,""
XKEQPPFJWHY9,f9375ed0-0002-45ae-b357-09fbe0ac9e69,12314dff-ac9b-43ea-bb8c-338e96073346,Global-Freedom-Movement_20170830T214655.conll.annot,50,1 2 3 4 5,Global Freedom Movement,Much of the mainstream media,3 - The source is potentially reliable,""
NQ4WJCA6QP7M,e60d0364-bf7d-45e9-b67b-ea924e8ae704,60c6bec7-3ad6-4c77-8d5a-463ec086a3bd,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,28,2 3 4 5 6 7 8 9,Banning-Beaumont CA Patch,City News Service and Patch Editor Renee Schiavone,4 - The source is somewhat reliable,""
2KJAY9AMYRCD,d37245d4-1546-4bda-bc56-d33133d015e9,4d660d42-dac8-4faa-a57f-2f2d03f6881e,the-Guardian_20170928T060038.conll.annot,12,9 10 11 12,the Guardian,political and medical experts,2 - The source is somewhat unreliable,""
XKEQPPFJWHY9,e1fe41c4-d14d-43cf-b92a-bba900e88ee7,4d7cc4de-c6c2-4c87-a770-4ff33e37f45c,LifeSiteNews_20170611T045238.conll.annot,5,1 2 3,LifeSiteNews,Priests throughout Kenya,4 - The source is somewhat reliable,""
2KJAY9AMYRCD,e9cd9739-7d3e-4938-9f9c-b054a60b4f08,e4e94178-7fd8-4374-a76f-cd369977c584,PBS-NewsHour_20161202T134302.conll.annot,56,23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,PBS NewsHour,"Dr. Eric Handler , the health officer in Orange County , where 23 of the cases have been reported this year",3 - The source is potentially reliable,""
2AZWNZRTVACE,fcceea73-6972-4f47-8895-6ada8b32dbe5,5d3792b2-f837-40dc-9293-dc36cb7d0da9,Modern-Alternative-Health_20170627T011209.conll.annot,7,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,Modern Alternative Health,"Your pediatrician and his handy marketing piece , the Vaccine Information Statement ( VIS ) ,",3 - The source is potentially reliable,""
2AZWNZRTVACE,ffa87910-146b-4235-92ec-2367e24dd3b5,e7dd0675-9a51-47b9-912d-2c90e8e99305,sharylattkisson-com_20171001T192931.conll.annot,11,1 2,sharylattkisson.com,Many Studies,4 - The source is somewhat reliable,""
2KJAY9AMYRCD,fea69816-66e3-4edf-81bd-cc96c8c0e600,ba84af87-2967-413b-9568-da45678b039c,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,22,1 2,Banning-Beaumont CA Patch,The CDC,3 - The source is potentially reliable,""
2KJAY9AMYRCD,fcceea73-6972-4f47-8895-6ada8b32dbe5,544db4d4-7fcc-44f2-90f1-f81d85222efd,Modern-Alternative-Health_20170627T011209.conll.annot,7,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,Modern Alternative Health,"Your pediatrician and his handy marketing piece , the Vaccine Information Statement ( VIS ) ,",3 - The source is potentially reliable,""
2KJAY9AMYRCD,fc3fadbe-050a-492b-bc7a-db80102bd1e5,be4d7ca2-6950-45ac-acfb-cfabd3cc890d,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,1 - The source is totally unreliable,""
NKJG9Q32MFF2,fea69816-66e3-4edf-81bd-cc96c8c0e600,e8dca764-4d6b-4c85-af25-bb95e449f042,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,22,1 2,Banning-Beaumont CA Patch,The CDC,3 - The source is potentially reliable,""
VNAQPVX4R36A,fd587e51-cffa-4b17-a0fa-4d9b1fcf0c39,36257b28-d005-4006-b5b4-535127b4719d,thinktwice-com_20170627T191857.conll.annot,420,13,www.thinktwice.com,authorities,3 - The source is potentially reliable,""
NKJG9Q32MFF2,d47b15b8-032f-432c-9bc8-6c7c1cb05a43,395f14c3-56d3-4fc9-b1e3-d130e5ea0393,nytimes-com_20170309T113837.conll.annot,83,40 41 42 43,www.nytimes.com,health and school officials,3 - The source is potentially reliable,""
VNAQPVX4R36A,fde35910-cf2a-47dd-a1cf-1677ac58cd7f,ca9c1230-c03c-4599-869b-59bb87bd112d,Science-News_20170517T164904.conll.annot,138,11 12 13 14 15 16 17,Science News,"Margaret Chan , WHO ’s director-general ,",5 - The source is fully reliable,""
XKEQPPFJWHY9,fd4e7d10-ea88-440c-8d30-7f7d386803aa,4d397025-26f1-4408-ae1b-764d3919a732,State-of-Health_20160131T151029.conll.annot,22,1,State of Health,Majumder,I don't know.,""
