number_of_responses,task_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Agreement %: What is your perceived reliability of this source of information?,Optional Comments:
10,f79dff90-7723-4c33-9582-33e46ab6176c,ThinkProgress_20160723T110700.conll.annot,12,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,ThinkProgress,"Maimuna Majumder , a research fellow at Boston Children ’s Hospital and one of the authors of the new JAMA study ,",5 - The source is fully reliable,0.6,""
10,f040bde3-4c11-482c-b7e3-4bd080b1a7f7,PublicHealth-org_20170623T200727.conll.annot,14,1 2,PublicHealth.org,The article,4 - The source is somewhat reliable,0.4,""
10,e3f62e34-fb40-4bda-a5b4-acd3d72c1160,National-Vaccine-Information-Center-(NVIC)_20170616T025538.conll.annot,26,5 6,National Vaccine Information Center (NVIC),Dr. Cherry,5 - The source is fully reliable,0.5,Not sure if totally unreliable was applicable if half-truths were present.
10,edf664b7-4b4b-4eca-8bfb-dbb814528de7,dogsnaturallymagazine-com_20170804T052804.conll.annot,27,1 2 3,www.dogsnaturallymagazine.com,My vet friend,3 - The source is potentially reliable,0.6,""
10,cca66bf3-17a3-4c5d-8a91-ce303c7bc5a0,Variety_20170614T212541.conll.annot,457,1 2 3 4 5,Variety,People in the middle ages,2 - The source is somewhat unreliable,0.5,""
10,f5a2949d-444b-4045-8b2a-36fd4c5128c3,NaturalNews_20170628T230637.conll.annot,6,11 12,NaturalNews,the establishment,3 - The source is potentially reliable,0.4,""
10,dec31be9-d54d-48fb-ae88-8a64942d1f98,Reuters_20161107T200904.conll.annot,14,37,Reuters,Majumder,3 - The source is potentially reliable,0.6,""
10,d7937c9a-c375-418f-a3c2-5135ad1d25b2,vaccine-injury-info_20170922T015859.conll.annot,105,1 2 3 4 5 6 7,vaccine-injury.info,The Office of Medical and Scientific Justice,2 - The source is somewhat unreliable,0.3,""
10,d1cb3b4c-baf4-4fed-aaa4-35fbae145e0a,KXAN-com_20171002T213140.conll.annot,6,6,KXAN.com,Saathoff,3 - The source is potentially reliable,0.5,""
10,df8fa1b1-b61d-4342-99e2-4ff31f594188,wonkette-com_20160919T234256.conll.annot,20,2,wonkette.com,everyone,2 - The source is somewhat unreliable,0.7,""
10,c2d929d3-b0fe-4230-a8e0-84b21d7647d0,nytimes-com_20161229T124138.conll.annot,106,3,www.nytimes.com,studies,3 - The source is potentially reliable,0.6,""
10,e7a0cb40-1748-4ad7-a9ac-d41ba21f1189,Activist-Post_20170704T090503.conll.annot,10,9 10 11 12 13 14 15 16 17 18 19 20 21,Activist Post,"a previous article , “ Measles : A Rash of Misinformation , ”",3 - The source is potentially reliable,0.8,""
10,83470ae7-dc09-47e5-951a-2daa817cb569,emergency-cdc-gov_20170616T203204.conll.annot,13,1 2 3 4,emergency.cdc.gov,The initial confirmed case-patients,5 - The source is fully reliable,0.9,""
10,aa65ab98-143a-403f-a60b-98cc2ae462a8,the-Guardian_20160416T111806.conll.annot,32,3 4 5,the Guardian,the medical community,5 - The source is fully reliable,0.5,""
10,c1cb60ba-972d-429b-9d71-641e9cdf4d57,21st-Century-Wire_20170627T181355.conll.annot,3,5 6,21st Century Wire,the CDC,5 - The source is fully reliable,0.4,""
10,a1f2b6d8-412f-4e3b-9ab7-79c5e8d40f2f,Health-Impact-News_20170428T192431.conll.annot,144,7 8,Health Impact News,a claim,2 - The source is somewhat unreliable,0.4,""
10,b767bea4-aa41-4843-a706-856e41cee671,NaturalNews_20170606T044813.conll.annot,24,11 12 13,NaturalNews,most vaccine pushers,1 - The source is totally unreliable,0.4,""
10,966bfe78-e1d3-4eca-84a1-7365db6135df,Skeptical-Raptor_20170628T161832.conll.annot,195,6,Skeptical Raptor,anyone,1 - The source is totally unreliable,0.7,""
10,8c9921b4-101a-49c3-ac23-683c0055dab5,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,17,17 18,Banning-Beaumont CA Patch,the CDC,5 - The source is fully reliable,0.7,""
10,84df0038-b812-4bf4-a8fb-8cdf72cb4862,Parents_20170705T132137.conll.annot,57,4 5,Parents,government scientists,3 - The source is potentially reliable,0.3,""
10,bcc29f18-b9b9-43a2-b187-1f03f241d137,unicef-org_20161024T164946.conll.annot,18,1 2 3 4 5 6 7,www.unicef.org,The World Health Organization ( WHO ),5 - The source is fully reliable,1.0,""
10,b668fac0-b372-462f-9377-b80f4d837e54,Science-Based-Medicine_20170701T065108.conll.annot,21,8 9,Science-Based Medicine,Other sources,2 - The source is somewhat unreliable,0.5,""
10,8c5bca89-4ba1-4fd3-b6a0-e43eb2d53b0b,Respectful-Insolence_20170806T205046.conll.annot,13,8 9,Respectful Insolence,news reports,3 - The source is potentially reliable,0.8,""
10,97576e17-e57d-4f5c-9f94-aa91f7fc273b,CNN_20170928T102949.conll.annot,28,3 4 5 6,CNN,health care providers statewide,5 - The source is fully reliable,0.6,""
10,9005df96-939e-4ec5-9c28-ce88be32b772,Child-Health-Safety_20170626T115833.conll.annot,100,56 57 58 59 60 61 62 63 64 65 66,________________Child Health Safety_________________,"[ 10 times overdiagnosed , CDR Weekly , PHLS 12:26 ]",3 - The source is potentially reliable,0.3,""
10,999c9311-7a30-42d9-861e-7bac738db793,fodors-com_20161027T194550.conll.annot,72,29 30 31,www.fodors.com,' easytraveler ',3 - The source is potentially reliable,0.5,""
10,6f31946c-5dad-458d-8602-369af4ed263f,NaturalNews_20170707T040258.conll.annot,52,8 9,NaturalNews,many people,2 - The source is somewhat unreliable,0.7,""
10,2bdcfa6b-1e54-41fd-95f6-c15b2eb14a9e,thinktwice-com_20170627T225319.conll.annot,36,1 2 3,www.thinktwice.com,The medical community,1 - The source is totally unreliable,0.3,""
10,68edd02d-f0aa-4a70-b490-4eec745d86b3,en-wikipedia-org_20170519T045515.conll.annot,35,1 2,en.wikipedia.org,Its authors,3 - The source is potentially reliable,0.6,""
10,82628277-5096-45da-8b42-678c77b715da,reasonable-hank_20170912T094538.conll.annot,27,595,reasonable hank,Wakefield,2 - The source is somewhat unreliable,0.4,""
10,884314e8-73be-4301-a5d6-0a417c8c0419,immunise-health-gov-au_20170626T104650.conll.annot,205,47 48 49 50 51 52 53 54 55 56,www.immunise.health.gov.au,The World Health Organization Global Advisory Committee on Vaccine Safety,5 - The source is fully reliable,0.8,""
10,4498006f-8e0b-4101-8a3d-196403dcf605,en-wikipedia-org_20170615T120212.conll.annot,118,13 14 15 16,en.wikipedia.org,most public health officials,4 - The source is somewhat reliable,0.7,""
10,2c639e8b-eab5-42de-b6ad-2ea3d8f0e53b,VaxTruth-org_20170606T065016.conll.annot,84,1 2 3 4 5 6 7 8 9,VaxTruth.org,Measles outbreak in a fully immunized secondary-school population .,2 - The source is somewhat unreliable,0.5,""
10,7aeb6548-fec2-4f53-bcc8-5e68f0e34215,mirror_20170321T120113.conll.annot,14,1 2 3 4 5 6 7 8,mirror,The US Centres for Disease Control and Prevention,3 - The source is potentially reliable,0.3,""
10,3593d15e-b884-4f8b-be50-108122d80acb,NaturalNews_20170704T132504.conll.annot,80,4 5 6 7 8 9 10 11 12 13 14 15 16 17,NaturalNews,"Dr. Charles Arntzen , head of The Biodesign Institute for Infectious Diseases and Vaccinology",3 - The source is potentially reliable,0.3,""
10,76ffa423-e223-42fe-9546-4bfcb79c866a,NPR-org_20171001T221620.conll.annot,41,3 4 5 6 7 8,NPR.org,the Red Cross in South Sudan,5 - The source is fully reliable,0.9,""
10,2b8639ab-930d-47ed-bd11-958d2cce845e,Skeptical-Raptor_20170628T161832.conll.annot,170,1 2 3 4 5 6 7 8 9,Skeptical Raptor,"A recent study done in Ontario , Canada ,",3 - The source is potentially reliable,0.4,""
10,13c6d76f-2e6b-4a2d-b58e-5da211a216aa,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,8,30 31,Banning-Beaumont CA Patch,the researchers,2 - The source is somewhat unreliable,0.3,""
10,6de28f3c-dc83-4e8a-a49a-35b8d5d3f0d9,National-Vaccine-Information-Center-(NVIC)_20170616T025538.conll.annot,5,2,National Vaccine Information Center (NVIC),Astroturfers,4 - The source is somewhat reliable,0.3,""
10,47580e4d-d734-4f66-961a-69229f4330cb,latimes-com_20170628T014330.conll.annot,27,1,latimes.com,Gordon,2 - The source is somewhat unreliable,0.3,""
10,25ea913d-abfd-44b4-bc3d-9924b23d1905,sharylattkisson-com_20171001T192931.conll.annot,51,1 2 3 4 5 6 7 8 9,sharylattkisson.com,A study from Japan ’s Kinki University in 2010,2 - The source is somewhat unreliable,0.3,""
