number_of_responses,task_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Agreement %: What is your perceived reliability of this source of information?,Optional Comments:
7,c4725b6c-5949-4708-a6f0-8f12a96c96c5,International-Medical-Council-on-Vaccination_20170701T172125.conll.annot,62,1 2 3 4 5 6 7 8 9 10,International Medical Council on Vaccination,Effect of measles and measles vaccine on serum cholesterol .,4 - The source is somewhat reliable,0.43,""
7,e5a63760-7547-4dbf-9f49-1046e322444b,fitfortravel-scot-nhs-uk_20160608T202918.conll.annot,39,17,www.fitfortravel.scot.nhs.uk,evidence,3 - The source is potentially reliable,0.57,""
7,da9867a1-9e66-4f13-8362-90945aa56f47,healthtalk-org_20161031T152854.conll.annot,15,1 2 3 4 5 6 7 8,www.healthtalk.org,A small number of parents that we interviewed,3 - The source is potentially reliable,0.43,Never heard of this website. A small group.of.arents....depends on who the parents are. So maybe on both.
7,a4516ac2-8686-43c0-b668-a66906263b69,21st-Century-Wire_20170627T181355.conll.annot,52,24 25 26 27 28,21st Century Wire,the media ’s hysterical storyline,1 - The source is totally unreliable,0.43,""
7,fd57ff99-5763-4d8c-b71a-088d2ee74a0f,WIRED_20170525T041726.conll.annot,2,5 6 7 8 9 10 11 12 13,WIRED,most of the people stricken with Mickey Mouse measles,1 - The source is totally unreliable,0.43,""
7,fec791be-a5ff-49ef-b51f-a0bf518c1385,International-Medical-Council-on-Vaccination_20170701T172125.conll.annot,62,1 2 3 4 5 6 7 8 9 10,International Medical Council on Vaccination,Effect of measles and measles vaccine on serum cholesterol .,4 - The source is somewhat reliable,0.43,""
7,fc27f781-d54f-47a2-9ff7-b9085cb96673,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",4 - The source is somewhat reliable,0.43,""
7,fbe5527d-d951-4b65-ac4c-23fe78e12e4c,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,4 - The source is somewhat reliable,0.29,""
7,fcf8b82a-d715-479a-98ef-ebee062da6af,vk-ovg-ox-ac-uk_20170821T010049.conll.annot,38,1,vk.ovg.ox.ac.uk,Sister,2 - The source is somewhat unreliable,0.71,""
7,f99a4cd4-adbe-4725-877b-e4de8d70b3ac,NaturalNews_20170706T012448.conll.annot,7,1 2 3 4 5,NaturalNews,The esteemed Johns Hopkins Hospital,5 - The source is fully reliable,0.43,""
7,ff533cf2-3788-4337-9352-2b92381a02be,thinktwice-com_20170627T225319.conll.annot,150,8 9 10 11 12 13 14,www.thinktwice.com,the nursing school where I am enrolled,2 - The source is somewhat unreliable,0.29,""
7,ffda93bf-3104-4759-8501-df1195598ddb,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,4 - The source is somewhat reliable,0.29,""
7,fb26df53-6946-4045-9b3d-1ed622cec72f,greenmedinfo-com_20170703T045312.conll.annot,21,1 2 3,www.greenmedinfo.com,This case report,3 - The source is potentially reliable,0.43,""
7,cab921b6-8314-44d6-8429-615f48a9717e,PublicHealth-org_20170623T200727.conll.annot,11,1,PublicHealth.org,Research,3 - The source is potentially reliable,0.71,""
7,fa93b2bf-06c0-40f8-8102-4b1526202251,drsuzanne-net_20170606T042830.conll.annot,106,5 6 7 8 9 10 11 12 13 14,drsuzanne.net,a controlled study published in BMJ in school age children,5 - The source is fully reliable,0.29,""
7,fd9e0e35-a6f5-4268-a511-835d986c3d84,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",4 - The source is somewhat reliable,0.43,""
7,fa7cc383-7941-4dd5-b042-632ddefe0a39,Child-Health-Safety_20170626T115833.conll.annot,352,3 4 5 6,________________Child Health Safety_________________,no sound scientific evidence,1 - The source is totally unreliable,0.71,""
7,fbfcd5a1-c26a-428f-b48f-70236265736d,greenmedinfo-com_20170702T213636.conll.annot,14,1 2,www.greenmedinfo.com,The researchers,3 - The source is potentially reliable,0.43,""
7,f8f80cdc-a94e-4b84-bd3b-cd0a9dfa9f9d,21st-Century-Wire_20170627T181355.conll.annot,52,24 25 26 27 28,21st Century Wire,the media ’s hysterical storyline,1 - The source is totally unreliable,0.57,""
7,fba62645-9e2f-43a0-81c5-3c66db13b8c7,National-Vaccine-Information-Center-(NVIC)_20170701T193111.conll.annot,37,1 2 3,National Vaccine Information Center (NVIC),Some observational studies,3 - The source is potentially reliable,0.43,""
7,f1608c98-cafa-4ff3-b667-e5e300d2dbd4,NPR-org_20170313T074645.conll.annot,2,18 19 20,NPR.org,state health officials,5 - The source is fully reliable,0.71,""
7,f878873f-c35e-45c9-bb1f-2e8fb4b1c898,Washington-Post_20170826T112301.conll.annot,38,3 4,Washington Post,immunization advocates,2 - The source is somewhat unreliable,0.43,""
7,f91e22cc-3b81-4007-b198-968dc5cb7187,National-Vaccine-Information-Center-(NVIC)_20170701T193111.conll.annot,37,1 2 3,National Vaccine Information Center (NVIC),Some observational studies,3 - The source is potentially reliable,0.43,""
7,f2b4632f-2990-4998-b69c-da23b3a81bea,Washington-Post_20170826T112301.conll.annot,38,3 4,Washington Post,immunization advocates,2 - The source is somewhat unreliable,0.43,""
7,f962ecf5-4a2b-4631-a490-a8c67004751e,Washington-Post_20170826T112301.conll.annot,38,3 4,Washington Post,immunization advocates,2 - The source is somewhat unreliable,0.43,""
7,fa54ce47-37fa-4d22-a20a-3240ed67646e,cdc-gov_20170618T093441.conll.annot,40,21 22,www.cdc.gov,one study,3 - The source is potentially reliable,0.57,""
7,fb1b2eb4-4ac9-4c6a-833d-991859e054f5,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,28,2 3 4 5 6 7 8 9,Banning-Beaumont CA Patch,City News Service and Patch Editor Renee Schiavone,4 - The source is somewhat reliable,0.57,""
7,fa51d6cc-da97-49b4-852d-7f9ddda0c040,Variety_20170614T212541.conll.annot,26,10,Variety,researchers,3 - The source is potentially reliable,0.86,""
7,f6e0ed1f-764e-4df1-b3b3-4ca048378092,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,116,1 2,Stop Mandatory Vaccination,The doctors,4 - The source is somewhat reliable,0.43,""
7,ef4cd7a4-e689-4f5a-baee-da19c2ee2820,Stop-Mandatory-Vaccination_20161120T082441.conll.annot,195,5 6 7 8 9 10 11 12 13 14 15 16,Stop Mandatory Vaccination,"Helen Ratajczak , a former senior scientist at a pharmaceutical firm ,",5 - The source is fully reliable,0.43,""
7,ef7d50a6-0297-4dcb-bb0a-df70c6ccc13a,blogs-cdc-gov_20170616T233823.conll.annot,49,6 7,blogs.cdc.gov,my kids,1 - The source is totally unreliable,0.43,""
7,f83d74e3-bbf9-480d-85d6-2a59bcb08a62,KXAN-com_20171002T213140.conll.annot,17,1 2 3 4 5 6 7 8 9 10 11 12 13,KXAN.com,"Jenna Mize , associate veterinarian at the Firehouse Animal Center in Austin ,",4 - The source is somewhat reliable,0.43,""
7,eeb5164b-9ec0-447e-87c7-d809e9ebdb44,nap-edu_20160617T022642.conll.annot,55,35 36 37 38 39,www.nap.edu,"Conway et al. , 1993",3 - The source is potentially reliable,0.43,""
7,f55e2982-b180-4628-b932-6fa71b7935e3,WIRED_20170525T041726.conll.annot,2,5 6 7 8 9 10 11 12 13,WIRED,most of the people stricken with Mickey Mouse measles,3 - The source is potentially reliable,0.43,""
